mass_A
t		x		y
0.000000000E0	3.759139003E-3	2.799211937E-1
3.332222222E-2	1.124311813E-2	2.747773066E-1
6.664444444E-2	1.746787758E-2	2.696512543E-1
9.996666667E-2	2.502319563E-2	2.695442459E-1
1.332888889E-1	3.754405346E-2	2.643290198E-1
1.666111111E-1	4.763564560E-2	2.654455617E-1
1.999333333E-1	5.511962473E-2	2.603016746E-1
2.332555556E-1	7.143597632E-2	2.562921640E-1
2.665777778E-1	8.902938231E-2	2.535240384E-1
2.999000000E-1	1.041043490E-1	2.507915823E-1
3.332222222E-1	1.191436461E-1	2.455406868E-1
3.665444444E-1	1.392198220E-1	2.402184524E-1
3.998666667E-1	1.592959979E-1	2.348962180E-1
4.331888889E-1	1.806313935E-1	2.295561489E-1
4.665111111E-1	2.107278226E-1	2.203135776E-1
4.998333333E-1	2.282320549E-1	2.112493536E-1
5.331555556E-1	2.571227685E-1	2.058022761E-1
5.664777778E-1	2.859064737E-1	1.927998805E-1
5.998000000E-1	3.147615179E-1	1.848343636E-1
6.331222222E-1	3.485464323E-1	1.692421897E-1
6.664444444E-1	3.773301376E-1	1.562397941E-1
6.997666667E-1	4.148927110E-1	1.405941161E-1
7.330888889E-1	4.512317343E-1	1.274847121E-1
7.664111111E-1	4.925719668E-1	1.117855298E-1
7.997333333E-1	5.301702098E-1	9.865829112E-2
8.330555556E-1	5.715282770E-1	8.421832854E-2
8.663777778E-1	6.179588924E-1	7.222546638E-2
8.997000000E-1	6.619780769E-1	6.782359174E-2
9.330222222E-1	7.110698095E-1	6.586881752E-2
9.663444444E-1	7.539367827E-1	6.904009567E-2
9.996666667E-1	7.968929295E-1	7.850747219E-2
1.032988889E0	8.348835366E-1	9.308306635E-2
1.066311111E0	8.703735390E-1	1.089535496E-1
1.099633333E0	9.045151481E-1	1.185457693E-1
1.132955556E0	9.323963283E-1	1.307456019E-1
1.166277778E0	9.614653892E-1	1.378907212E-1
1.199600000E0	9.917758351E-1	1.437587860E-1
1.232922222E0	1.022050611E0	1.471084114E-1
1.266244444E0	1.052254049E0	1.454211582E-1
1.299566667E0	1.079867708E0	1.387326957E-1
1.332888889E0	1.111312531E0	1.357683881E-1
1.366211111E0	1.145168784E0	1.252130929E-1
1.399533333E0	1.175283048E0	1.172297413E-1
1.432855556E0	1.210398521E0	1.066566114E-1
1.466177778E0	1.246773214E0	9.606564678E-2
1.499500000E0	1.280736475E0	9.306566967E-2
1.532822222E0	1.313387013E0	8.630586827E-2
1.566044444E0	1.357406198E0	8.190399363E-2
