mass_A
t	x	y
0,000000000E0	-1,919365104E-2	2,563936278E-1
3,332222222E-2	-1,919026972E-2	2,563957902E-1
6,664444444E-2	-1,920907835E-2	2,563943535E-1
9,996666667E-2	-1,919717284E-2	2,563944914E-1
1,332888889E-1	-1,916924786E-2	2,564398359E-1
1,666111111E-1	-7,031253062E-4	2,508464701E-1
1,999333333E-1	7,617611275E-3	2,489974175E-1
2,332555556E-1	1,778740043E-2	2,485351544E-1
2,665777778E-1	2,934397901E-2	2,457615755E-1
2,999000000E-1	4,090055760E-2	2,425257335E-1
3,332222222E-1	5,476845190E-2	2,392898915E-1
3,665444444E-1	7,140992506E-2	2,365163126E-1
3,998666667E-1	8,666460880E-2	2,328182075E-1
4,331888889E-1	1,056173977E-1	2,286578392E-1
4,665111111E-1	1,259569760E-1	2,235729446E-1
4,998333333E-1	1,475704633E-1	2,168275670E-1
5,331555556E-1	1,684322996E-1	2,109849705E-1
5,664777778E-1	1,971455001E-1	2,036956295E-1
5,998000000E-1	2,205775492E-1	1,957996328E-1
6,331222222E-1	2,499689466E-1	1,865203616E-1
6,664444444E-1	2,844606206E-1	1,748772075E-1
6,997666667E-1	3,166761259E-1	1,632783451E-1
7,330888889E-1	3,530459834E-1	1,492587584E-1
7,664111111E-1	3,894469677E-1	1,348184211E-1
7,997333333E-1	4,292888561E-1	1,178878887E-1
8,330555556E-1	4,724687586E-1	1,004015226E-1
8,663777778E-1	5,169034874E-1	8,411528330E-2
8,997000000E-1	5,643458387E-1	7,008252895E-2
9,330222222E-1	6,154967599E-1	5,957564127E-2
9,662444444E-1	6,722672632E-1	5,593449974E-2
9,994666667E-1	7,264233166E-1	5,709914604E-2
1,032888889E0	7,811616931E-1	6,466934705E-2
1,066211111E0	8,341531001E-1	8,213904168E-2
1,099533333E0	8,634981770E-1	9,909517298E-2
1,132855556E0	9,033396286E-1	1,165756508E-1
1,166177778E0	9,406417624E-1	1,295795216E-1
1,199500000E0	9,888106042E-1	1,401608718E-1
1,232822222E0	1,021078833E0	1,421183266E-1
1,266144444E0	1,056600545E0	1,392067108E-1
1,299466667E0	1,092704581E0	1,351304487E-1
1,332788889E0	1,131720232E0	1,263956014E-1
1,366111111E0	1,173065176E0	1,141668152E-1
1,399433333E0	1,214992443E0	1,013557058E-1
1,432755556E0	1,262160618E0	9,145621214E-2
1,466077778E0	1,309911117E0	8,737995007E-2
1,499400000E0	1,357661616E0	8,330368799E-2
1,532722222E0	1,406576761E0	7,806277960E-2
