mass_A
t	x	y
0,000000000E0	1,050299138E-2	2,731682031E-1
3,332222222E-2	1,262854978E-2	2,730249465E-1
6,664444444E-2	1,624527229E-2	2,718365107E-1
9,996666667E-2	2,122229767E-2	2,704451991E-1
1,332888889E-1	2,811976900E-2	2,686244519E-1
1,666111111E-1	3,623399073E-2	2,667828223E-1
1,999333333E-1	4,642189646E-2	2,651730919E-1
2,332555556E-1	5,725164265E-2	2,620879404E-1
2,665777778E-1	7,009083994E-2	2,588929581E-1
2,999000000E-1	8,463663556E-2	2,569497672E-1
3,332222222E-1	1,002620510E-1	2,524281244E-1
3,665444444E-1	1,178780068E-1	2,475597434E-1
3,998666667E-1	1,374540168E-1	2,440315146E-1
4,331888889E-1	1,583834472E-1	2,388242238E-1
4,665111111E-1	1,825878655E-1	2,338005468E-1
4,998333333E-1	2,060589663E-1	2,275198761E-1
5,331555556E-1	2,310380664E-1	2,183522894E-1
5,664777778E-1	2,587278884E-1	2,084304351E-1
5,998000000E-1	2,889062286E-1	1,996511246E-1
6,331222222E-1	3,205396503E-1	1,869663131E-1
6,664444444E-1	3,551114945E-1	1,764565996E-1
6,997666667E-1	3,936144342E-1	1,675626792E-1
7,330888889E-1	4,295575544E-1	1,478352750E-1
7,664111111E-1	4,709703536E-1	1,303632855E-1
7,997333333E-1	5,144351758E-1	1,146118444E-1
8,330555556E-1	5,591425607E-1	9,748118461E-2
8,663777778E-1	6,078344100E-1	8,570350825E-2
8,997000000E-1	6,591874597E-1	7,647773882E-2
9,330222222E-1	7,105192914E-1	7,380167482E-2
9,663444444E-1	7,627335194E-1	7,818810643E-2
9,996666667E-1	8,117604188E-1	8,783915392E-2
1,032988889E0	8,570882690E-1	1,041746879E-1
1,066311111E0	8,969246297E-1	1,211142136E-1
1,099633333E0	9,338917930E-1	1,388615099E-1
1,132955556E0	9,689498793E-1	1,497854409E-1
1,166277778E0	1,001751923E0	1,559069817E-1
1,199600000E0	1,035412320E0	1,594927995E-1
1,232922222E0	1,070040123E0	1,594460220E-1
1,266244444E0	1,105345712E0	1,536554894E-1
1,299566667E0	1,142393547E0	1,474487560E-1
