mass_A
t	x	y
0,000000000E0	7,275802376E-3	2,735701693E-1
3,332222222E-2	7,297498074E-3	2,732252366E-1
6,664444444E-2	8,430033060E-3	2,725344918E-1
9,996666667E-2	1,073852402E-2	2,716638669E-1
1,332888889E-1	1,431295131E-2	2,694610974E-1
1,666111111E-1	2,005275683E-2	2,693474928E-1
1,999333333E-1	2,711793151E-2	2,670080998E-1
2,332555556E-1	3,524965968E-2	2,645911766E-1
2,665777778E-1	4,565719626E-2	2,631421694E-1
2,999000000E-1	5,728232064E-2	2,608871007E-1
3,332222222E-1	7,008851662E-2	2,576674231E-1
3,665444444E-1	8,425740758E-2	2,528421996E-1
3,998666667E-1	1,005146980E-1	2,492361250E-1
4,330888889E-1	1,189206223E-1	2,467581071E-1
4,663111111E-1	1,377571552E-1	2,401672103E-1
4,997333333E-1	1,597702294E-1	2,366973230E-1
5,330555556E-1	1,842233162E-1	2,284601946E-1
5,663777778E-1	2,074148252E-1	2,245096490E-1
5,997000000E-1	2,333774961E-1	2,153597345E-1
6,330222222E-1	2,621685138E-1	2,082773400E-1
6,663444444E-1	2,921876122E-1	1,983676693E-1
6,996666667E-1	3,239778116E-1	1,871361449E-1
7,329888889E-1	3,579236717E-1	1,733987431E-1
7,663111111E-1	3,937664246E-1	1,562842350E-1
7,996333333E-1	4,323534590E-1	1,436626550E-1
8,329555556E-1	4,743931570E-1	1,277037274E-1
8,662777778E-1	5,182885311E-1	1,111921426E-1
8,996000000E-1	5,635663649E-1	9,217450959E-2
9,329222222E-1	6,138389748E-1	8,085031036E-2
9,662444444E-1	6,650940125E-1	7,314792181E-2
9,995666667E-1	7,168120501E-1	7,770556938E-2
1,032888889E0	7,662875062E-1	8,469033966E-2
1,066211111E0	8,140167698E-1	9,633162346E-2
1,099533333E0	8,570895199E-1	1,126294208E-1
1,132855556E0	8,972519490E-1	1,318375391E-1
1,166177778E0	9,339219930E-1	1,463891438E-1
1,199500000E0	9,694279086E-1	1,568662992E-1
1,232822222E0	1,003769696E0	1,621048769E-1
1,266144444E0	1,038693547E0	1,615228127E-1
1,299466667E0	1,070048778E0	1,587934676E-1
1,332788889E0	1,103950138E0	1,528525634E-1
1,366111111E0	1,138731211E0	1,460056778E-1
1,399433333E0	1,177519872E0	1,366487802E-1
1,432755556E0	1,214729618E0	1,233010630E-1
1,466077778E0	1,256446640E0	1,134733110E-1
1,499400000E0	1,299470138E0	1,073710218E-1
1,532722222E0	1,346236879E0	1,033146466E-1
1,566044444E0	1,394334767E0	9,865988022E-2
