mass_A
t	x	y
0,000000000E0	7,566834471E-3	2,735701693E-1
3,332222222E-2	7,601047711E-3	2,736190498E-1
6,664444444E-2	7,617898389E-3	2,734949410E-1
9,996666667E-2	8,632134480E-3	2,724382535E-1
1,332888889E-1	1,108607842E-2	2,705645697E-1
1,666111111E-1	1,465412172E-2	2,675052305E-1
1,999333333E-1	2,036215455E-2	2,658112507E-1
2,332555556E-1	2,845590598E-2	2,662272632E-1
2,665777778E-1	3,670804990E-2	2,630330565E-1
2,999000000E-1	4,716545830E-2	2,607855117E-1
3,332222222E-1	5,884612000E-2	2,580640727E-1
3,665444444E-1	7,259245481E-2	2,564186924E-1
3,998666667E-1	8,773610538E-2	2,530158665E-1
4,331888889E-1	1,041520274E-1	2,490000979E-1
4,665111111E-1	1,226961812E-1	2,455229032E-1
4,998333333E-1	1,425118668E-1	2,408784373E-1
5,331555556E-1	1,636877502E-1	2,339201997E-1
5,664777778E-1	1,879712202E-1	2,285845155E-1
5,998000000E-1	2,112181005E-1	2,204538918E-1
6,331222222E-1	2,381348752E-1	2,126133206E-1
6,664444444E-1	2,670622219E-1	2,049658003E-1
6,997666667E-1	2,973112394E-1	1,947314615E-1
7,330888889E-1	3,289162908E-1	1,817612684E-1
7,664111111E-1	3,637786068E-1	1,706272918E-1
7,997333333E-1	4,012910969E-1	1,570906204E-1
8,330555556E-1	4,383858427E-1	1,400023090E-1
8,663777778E-1	4,802009846E-1	1,234205752E-1
8,997000000E-1	5,235430127E-1	1,054687463E-1
9,329222222E-1	5,735215041E-1	9,180811440E-2
9,661444444E-1	6,199045572E-1	7,836114103E-2
9,995666667E-1	6,713696531E-1	7,049834789E-2
1,032888889E0	7,249609487E-1	7,537731262E-2
1,066211111E0	7,750184691E-1	8,410827547E-2
1,099533333E0	8,262401178E-1	9,924194441E-2
1,132855556E0	8,693128679E-1	1,178679985E-1
1,166177778E0	9,106394254E-1	1,376581810E-1
1,199500000E0	9,496377261E-1	1,492994648E-1
1,232822222E0	9,841509788E-1	1,554760279E-1
1,266144444E0	1,020067493E0	1,609407486E-1
1,299466667E0	1,053987433E0	1,582593188E-1
1,332788889E0	1,090186620E0	1,547942719E-1
1,366111111E0	1,127478484E0	1,479029996E-1
1,399433333E0	1,169290383E0	1,383165832E-1
1,432755556E0	1,206493306E0	1,271372425E-1
1,466077778E0	1,248915761E0	1,137095569E-1
1,499400000E0	1,295021144E0	1,083366627E-1
1,532722222E0	1,342531054E0	1,021522654E-1
1,566044444E0	1,395297265E0	9,712942028E-2
1,599366667E0	1,441524607E0	9,180025046E-2
