mass_A
t	x	y
0,000000000E0	5,529609806E-3	2,732791372E-1
3,332222222E-2	6,386291857E-3	2,731526185E-1
6,664444444E-2	1,076818752E-2	2,721150089E-1
9,996666667E-2	1,542470104E-2	2,715329447E-1
1,332888889E-1	2,124534294E-2	2,692046879E-1
1,666111111E-1	2,881217741E-2	2,668764312E-1
1,999333333E-1	3,637901188E-2	2,645481744E-1
2,332555556E-1	4,685616730E-2	2,616378534E-1
2,665777778E-1	5,442863975E-2	2,590170694E-1
2,999000000E-1	6,729553835E-2	2,556044484E-1
3,332222222E-1	8,238792737E-2	2,531243041E-1
3,665444444E-1	9,862056688E-2	2,498353499E-1
3,998666667E-1	1,161039727E-1	2,447186036E-1
4,330888889E-1	1,358762476E-1	2,408221430E-1
4,663111111E-1	1,568396222E-1	2,352382330E-1
4,997333333E-1	1,810018335E-1	2,295180423E-1
5,330555556E-1	2,045673759E-1	2,233287745E-1
5,663777778E-1	2,301127125E-1	2,160322202E-1
5,997000000E-1	2,581335209E-1	2,068446485E-1
6,330222222E-1	2,883207727E-1	1,975278926E-1
6,663444444E-1	3,198919294E-1	1,849022190E-1
6,996666667E-1	3,546548787E-1	1,740649851E-1
7,329888889E-1	3,935278918E-1	1,611849706E-1
7,663111111E-1	4,293091419E-1	1,438248896E-1
7,996333333E-1	4,711908576E-1	1,267913958E-1
8,329555556E-1	5,151760494E-1	1,114221825E-1
8,662777778E-1	5,607355513E-1	9,522244818E-2
8,996000000E-1	6,086034378E-1	8,035295510E-2
9,329222222E-1	6,608476214E-1	7,409342802E-2
9,662444444E-1	7,122571453E-1	7,038822033E-2
9,995666667E-1	7,634931050E-1	7,423973010E-2
1,032888889E0	8,123871911E-1	8,455026835E-2
1,066211111E0	8,577554533E-1	1,019170777E-1
1,099533333E0	8,981773931E-1	1,224664467E-1
1,132855556E0	9,343185711E-1	1,374873432E-1
1,166177778E0	9,693303681E-1	1,486741109E-1
1,199500000E0	1,002981242E0	1,560681899E-1
1,232822222E0	1,036835137E0	1,590147270E-1
1,266144444E0	1,070832974E0	1,564353938E-1
1,299466667E0	1,106782641E0	1,524647510E-1
1,332788889E0	1,142947047E0	1,430632551E-1
1,366111111E0	1,181449361E0	1,326246314E-1
1,399433333E0	1,220726197E0	1,230464692E-1
1,432755556E0	1,262763414E0	1,135217668E-1
1,466077778E0	1,305944131E0	1,055503077E-1
1,499400000E0	1,352426146E0	1,009881370E-1
1,532722222E0	1,399969132E0	9,436279829E-2
