mass_A
t	x	y
3,332222222E-2	4,120218681E-3	2,702856606E-1
6,664444444E-2	6,212837143E-3	2,697773370E-1
9,996666667E-2	9,780738198E-3	2,687888234E-1
1,332888889E-1	1,544449282E-2	2,676090140E-1
1,666111111E-1	2,162136963E-2	2,663736386E-1
1,999333333E-1	3,026899715E-2	2,643146797E-1
2,332555556E-1	3,932841646E-2	2,616380331E-1
2,665777778E-1	5,044679471E-2	2,591672823E-1
2,999000000E-1	6,280054832E-2	2,562847398E-1
3,332222222E-1	7,638965190E-2	2,503902267E-1
3,665444444E-1	9,250683030E-2	2,475116932E-1
3,998666667E-1	1,100575816E-1	2,436331824E-1
4,331888889E-1	1,288070365E-1	2,386495183E-1
4,665111111E-1	1,495693950E-1	2,345837438E-1
4,998333333E-1	1,718880721E-1	2,290932506E-1
5,331555556E-1	1,940095881E-1	2,199375387E-1
5,664777778E-1	2,194522049E-1	2,148789757E-1
5,998000000E-1	2,464793459E-1	2,059432716E-1
6,331222222E-1	2,755929198E-1	1,967188069E-1
6,664444444E-1	3,068695798E-1	1,866334193E-1
6,997666667E-1	3,407073704E-1	1,756077001E-1
7,330888889E-1	3,799416234E-1	1,644559178E-1
7,663111111E-1	4,130206906E-1	1,465529754E-1
7,995333333E-1	4,539084044E-1	1,300174335E-1
8,329555556E-1	4,965485904E-1	1,134803691E-1
8,662777778E-1	5,409436537E-1	9,705267103E-2
8,996000000E-1	5,877791009E-1	7,913051990E-2
9,329222222E-1	6,400397381E-1	7,212588470E-2
9,662444444E-1	6,926485736E-1	7,340419436E-2
9,995666667E-1	7,462223038E-1	7,573348698E-2
1,032888889E0	7,950974069E-1	8,758130345E-2
1,066211111E0	8,436967932E-1	1,015845164E-1
1,099533333E0	8,840589953E-1	1,209418991E-1
1,132855556E0	9,235974790E-1	1,394755633E-1
1,166177778E0	9,594292299E-1	1,514194803E-1
1,199500000E0	9,932016847E-1	1,575973684E-1
1,232822222E0	1,027385999E0	1,588329460E-1
1,266144444E0	1,062394031E0	1,571855092E-1
1,299466667E0	1,095754627E0	1,518313395E-1
1,332788889E0	1,131586378E0	1,448297330E-1
1,366111111E0	1,167006269E0	1,312383792E-1
1,399433333E0	1,209839627E0	1,217656175E-1
1,432755556E0	1,251025547E0	1,127047150E-1
1,466077778E0	1,294682623E0	1,044675309E-1
1,499400000E0	1,338751558E0	1,003489388E-1
