mass_A
t	x	y
0,000000000E0	-1,542470104E-2	2,546530832E-1
3,332222222E-2	-1,367850847E-2	2,534889548E-1
6,664444444E-2	-1,309644428E-2	2,531979227E-1
9,996666667E-2	-1,338747637E-2	2,531979227E-1
1,332888889E-1	-9,895091231E-3	2,523248264E-1
1,666111111E-1	-6,693738186E-3	2,514517301E-1
1,999333333E-1	-1,164128380E-3	2,499965696E-1
2,332555556E-1	5,529609806E-3	2,482503771E-1
2,665777778E-1	1,338747637E-2	2,470862487E-1
2,999000000E-1	1,858539713E-2	2,459959512E-1
3,332222222E-1	2,940436354E-2	2,435594238E-1
3,665444444E-1	4,542588011E-2	2,399796641E-1
3,998666667E-1	6,109913427E-2	2,365757964E-1
4,331888889E-1	7,678021092E-2	2,337098173E-1
4,665111111E-1	9,138653411E-2	2,301745268E-1
4,998333333E-1	1,106875458E-1	2,255824907E-1
5,331555556E-1	1,338076148E-1	2,197519360E-1
5,664777778E-1	1,550729197E-1	2,139449248E-1
5,998000000E-1	1,760744175E-1	2,080879480E-1
6,331222222E-1	2,041478691E-1	1,998722842E-1
6,664444444E-1	2,290422588E-1	1,923722148E-1
6,997666667E-1	2,598916609E-1	1,824771236E-1
7,330888889E-1	2,913231271E-1	1,714179040E-1
7,664111111E-1	3,250828502E-1	1,591945560E-1
7,997333333E-1	3,605887658E-1	1,446429512E-1
8,330555556E-1	3,978408739E-1	1,295092823E-1
8,663777778E-1	4,385853672E-1	1,132114850E-1
8,997000000E-1	4,838127601E-1	9,512031271E-2
9,330222222E-1	5,304583026E-1	7,887992969E-2
9,663444444E-1	5,800269654E-1	6,548222138E-2
9,996666667E-1	6,329948067E-1	5,616919434E-2
1,032988889E0	6,865447122E-1	5,442300177E-2
1,066311111E0	7,406766819E-1	5,791538691E-2
1,099633333E0	7,918983306E-1	6,897460652E-2
1,132955556E0	8,431199793E-1	8,643653223E-2
1,166277778E0	8,850286010E-1	1,056446505E-1
1,199600000E0	9,234448376E-1	1,201962553E-1
1,232922222E0	9,601148815E-1	1,330016674E-1
1,266144444E0	9,932925404E-1	1,370761168E-1
1,299366667E0	1,028216392E0	1,394043735E-1
1,332788889E0	1,065468500E0	1,376581810E-1
1,366111111E0	1,100974416E0	1,312554749E-1
1,399433333E0	1,141136845E0	1,213603836E-1
1,432755556E0	1,181881338E0	1,097190998E-1
1,466077778E0	1,226118216E0	9,691368765E-2
1,499400000E0	1,272101287E0	8,934685318E-2
1,532722222E0	1,322740872E0	8,410827547E-2
1,566044444E0	1,372216328E0	7,945176195E-2
1,599366667E0	1,419363528E0	7,421318424E-2
